feature,importance
days_since_news,0.04495683
is_month_start,0.039125256
day_of_month,0.037003305
sma_50,0.03319105
is_month_end,0.031906396
market_regime,0.03017358
return_10d,0.029175991
high_low_pct,0.02823917
volume_ratio_20,0.026563192
volume_sma20,0.026379278
volume_ratio_5,0.026181595
obv_sma5,0.025989687
price_vs_sma5,0.025471017
price_vs_sma20,0.024655368
sma20_sma50_cross,0.024567626
rsi,0.024123993
month,0.024105802
sma5_sma20_cross,0.023672681
day_of_week,0.022970468
vol_ratio_5_20,0.022545062
obv,0.022381654
quarter,0.022022901
return_20d,0.0215767
volume_ratio,0.02153271
return_3d,0.02140804
volatility_5d,0.021212343
atr_14,0.02120342
volatility_10d,0.021200836
volatility_20d,0.020881433
Volume,0.02041905
volume_sma5,0.020229703
return_5d,0.019676983
return_2d,0.019070204
sma_20,0.018917851
Close,0.018700574
sma_5,0.01865962
roc_20,0.018205862
return_1d,0.018172616
roc_5,0.017627472
Low,0.015573498
High,0.012267876
Dividends,0.009524727
Open,0.008536697
sentiment_5d_sum,0.0
financial_signal_5d_avg,0.0
news_frequency_5d,0.0
pos_neg_ratio,0.0
sentiment_5d_avg,0.0
negative_articles,0.0
positive_articles,0.0
num_articles,0.0
financial_signal,0.0
general_sentiment,0.0
has_news,0.0
Stock Splits,0.0
sentiment_momentum,0.0
financial_volatility,0.0
news_volume_return,0.0
rsi_sentiment,0.0
